ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
anejom,,87,anj,aty,{},-20.2,169.8,Papunesia,,Anejom,2035,False,False
anem,,23,ane,anz,{},-5.58333333333,149.083333333,Papunesia,,Anêm,1859,False,False
angaataha,,449,ant,agm,{},-7.21666666667,146.25,Papunesia,,Angaataha,1438,False,False
angami,,386,agm,"njm, nri",{},25.6666666667,94.5,Eurasia,,Angami,1823,False,False
angas,,6,anc,anc,{},9.5,9.5,Africa,,Angas,2070,False,False
anggor,,365,ang,agg,{},-3.75,141.166666667,Papunesia,,Anggor,1713,False,False
angolar,,331,ago,aoa,{},0.25,6.5,Africa,,Angolar,631,False,False
anguthimri,,794,agt,lnj,{},-12.3333333333,141.833333333,Australia,,Anguthimri,1670,False,False
ani,,210,ani,hnh,{},-18.9166666667,21.9166666667,Africa,,//Ani,2090,False,False
anindilyakwa,,41,ann,aoi,{},-14.0,136.5,Australia,,Anindilyakwa,1341,False,False
anong,,385,ano,nun,{},27.3333333333,98.75,Eurasia,,Anong,781,False,False
anufo,,275,anu,cko,{},10.0833333333,0.25,Africa,,Anufo,500,False,False
anyi,,275,ayi,any,{},7.0,-3.5,Africa,,Anyi,1016,False,False
anywa,,320,any,anu,{},8.0,33.5,Africa,,Anywa,1946,False,False
ao,,386,ao,njo,{},26.5833333333,94.6666666667,Eurasia,,Ao,2170,False,False
apache (chiricahua),,262,apc,apm,{},33.25,-108.0,North America,,Apache (Chiricahua),632,False,False
apache (jicarilla),,262,apj,apj,{},36.5833333333,-104.0,North America,,Apache (Jicarilla),501,False,False
apache (western),,262,apw,apw,{},33.75,-110.0,North America,,Apache (Western),1583,False,False
apalai,,119,apl,apy,{},0.0,-54.0,South America,,Apalaí,2171,False,False
apatani,,382,apt,apt,{},27.5,93.75,Eurasia,,Apatani,1746,False,False
apinaye,,238,api,apn,{},-5.5,-48.0,South America,,Apinayé,2071,False,False
apucikwar,,163,apk,apq,{},12.1666666667,92.8333333333,Eurasia,,A-Pucikwar,1,False,False
apurina,,534,apu,apu,{},-9.0,-67.0,South America,,Apurinã,2472,True,True
arabana,,792,abn,ard,{},-28.25,136.25,Australia,,Arabana,1860,False,False
arabela,,509,arb,arl,{},-2.0,-75.1666666667,South America,,Arabela,1631,False,False
arabic (bahrain),,10,abh,abv,{},26.0,50.5,Eurasia,,Arabic (Bahrain),12,False,False
arabic (banihassan),,10,ahs,mey,{},20.0,-10.0,Africa,,Arabic (Bani-Hassan),502,False,False
arabic (beirut),,10,abe,apc,{},33.9166666667,35.5,Eurasia,,Arabic (Beirut),633,False,False
arabic (borno nigerian),,10,arn,shu,{},8.58333333333,12.4166666667,Africa,,Arabic (Borno Nigerian),13,False,False
arabic (chadian),,10,abb,shu,{},13.8333333333,20.8333333333,Africa,,Arabic (Chadian),275,False,False
arabic (eastern libyan),,10,ael,ayl,{},32.0,22.0,Africa,,Arabic (Eastern Libyan),634,False,False
arabic (egyptian),,10,aeg,arz,{},30.0,31.0,Africa,,Arabic (Egyptian),2518,True,True
arabic (gulf),,10,arg,afb,{},26.0,49.0,Eurasia,,Arabic (Gulf),2258,False,False
arabic (hijazi),,10,arh,acw,{},26.0,38.0,Eurasia,,Arabic (Hijazi),503,False,False
arabic (iraqi),,10,arq,acm,{},33.0,44.0,Eurasia,,Arabic (Iraqi),1714,False,False
arabic (kormakiti),,10,ako,acy,{},35.25,33.5,Eurasia,,Arabic (Kormakiti),504,False,False
arabic (kuwaiti),,10,arj,afb,{},29.5,47.5,Eurasia,,Arabic (Kuwaiti),2604,False,False
arabic (lebanese),,10,arl,apc,{},34.0,36.0,Eurasia,,Arabic (Lebanese),970,False,False
arabic (modern standard),,10,ams,arb,{},25.0,42.0,Eurasia,,Arabic (Modern Standard),1584,False,False
arabic (moroccan),,10,amr,ary,{},34.0,-6.0,Africa,,Arabic (Moroccan),2199,False,False
arabic (negev),,10,arv,ajp,{},30.5,34.75,Eurasia,,Arabic (Negev),635,False,False
arabic (north levantine spoken),,10,anl,apc,{},33.75,36.0,Eurasia,,Arabic (North Levantine Spoken),505,False,False
arabic (palestinian),,10,apa,ajp,{},32.0,35.25,Eurasia,,Arabic (Palestinian),855,False,False
arabic (sanani),,10,ars,ayn,{},16.0,44.0,Eurasia,,Arabic (San'ani),636,False,False
arabic (syrian),,10,asy,apc,{},34.0,38.0,Eurasia,,Arabic (Syrian),2036,False,False
arabic (tunisian),,10,atu,aeb,{},36.75,10.25,Africa,,Arabic (Tunisian),911,False,False
arakanese (marma),,380,akm,rmz,{},21.5,92.5,Eurasia,,Arakanese (Marma),14,False,False
araki,,87,ark,akr,{},-15.6666666667,166.916666667,Papunesia,,Araki,506,False,False
aralletabulahan,,525,atb,atq,{},-2.75,119.25,Papunesia,,Aralle-Tabulahan,507,False,False
arandai,,828,ard,jbj,{},-2.08333333333,133.0,Papunesia,,Arandai,15,False,False
araona,,403,ana,aro,{},-12.3333333333,-67.75,South America,,Araona,2388,False,True
arapaho,,17,aho,arp,{},40.0,-103.0,North America,,Arapaho,508,False,False
arapesh (abu),,427,aab,,{},-3.45,142.95,,,Arapesh (Abu),1101,False,False
arapesh (mountain),,427,arp,ape,{},-3.46666666667,143.166666667,Papunesia,,Arapesh (Mountain),2440,True,True
arawak,,782,ara,arw,{},5.5,-55.1666666667,South America,,Arawak,2200,False,False
arbore,,698,abo,arv,{},5.0,36.75,Africa,,Arbore,1211,False,False
archi,,267,arc,aqc,{},42.0,46.8333333333,Eurasia,,Archi,2274,False,False
areare,,87,arx,alu,{},-9.25,161.166666667,Papunesia,,'Are'are,276,False,False
aribwatsa,,87,ari,laz,{},-6.71666666667,147.0,Papunesia,,Aribwatsa,856,False,False
arikara,,115,akr,ari,{},45.5,-100.5,North America,,Arikara,637,False,False
armenian (eastern),,189,arm,hye,{},40.0,45.0,Eurasia,,Armenian (Eastern),2391,False,True
armenian (iranian),,189,arz,hye,{},32.6666666667,51.6666666667,Eurasia,,Armenian (Iranian),16,False,False
armenian (western),,189,arw,hye,{},38.5,43.5,Eurasia,,Armenian (Western),2016,False,False
aroplokep,,87,alk,apr,{},-5.38333333333,147.05,Papunesia,,Arop-Lokep,1632,False,False
arosi,,87,aro,aia,{},-10.25,161.333333333,Papunesia,,Arosi,1947,False,False
arrernte,,792,arr,"aer, are",{},-24.0,134.0,Australia,,Arrernte,17,False,False
arrernte (mparntwe),,792,amp,aer,{},-24.0,136.0,Australia,,Arrernte (Mparntwe),2326,False,False
arrernte (western),,792,awe,are,{},-24.0,132.5,Australia,,Arrernte (Western),1439,False,False
asmat,,447,asm,tml,{},-5.5,138.5,Papunesia,,Asmat,2442,True,True
assamese,,182,ass,asm,{},26.0,93.0,Eurasia,,Assamese,1715,False,False
asturian,,184,ast,ast,{},43.25,-6.0,Eurasia,,Asturian,18,False,False
asurini,,457,asu,asu,{},-3.5,-49.5,South America,,Asuriní,857,False,False
atacameno,,219,atm,kuz,{},-23.0,-69.0,South America,,Atacameño,858,False,False
atakapa,,27,atk,aqp,{},30.0,-93.5,North America,,Atakapa,1824,False,False
atayal,,89,ata,tay,{},24.5,121.333333333,Papunesia,,Atayal,2143,False,False
atchin,,87,atc,upv,{},-16.0,167.333333333,Papunesia,,Atchin,912,False,False
athpare,,512,ath,aph,{},27.0,87.3333333333,Eurasia,,Athpare,1888,False,False
atikamekw,,17,ati,atj,{},48.0,-74.0,North America,,Atikamekw,277,False,False
atsugewi,,173,ats,atw,{},40.75,-121.0,North America,,Atsugewi,971,False,False
au,,428,au,avt,{},-3.58333333333,142.083333333,Papunesia,,Au,1974,False,False
aulua,,87,aul,aul,{},-16.3333333333,167.666666667,Papunesia,,Aulua,19,False,False
auslan,,330,aus,asf,{},-30.0,145.0,Australia,,Auslan,278,False,False
auyana,,430,auy,auy,{},-6.5,145.75,Papunesia,,Auyana,20,False,False
avar,,269,ava,ava,{},42.5,46.5,Eurasia,,Avar,2275,False,False
avatime,,275,avt,avn,{},6.83333333333,0.416666666667,Africa,,Avatime,21,False,False
avikam,,275,avk,avi,{},5.16666666667,-5.5,Africa,,Avikam,2591,False,False
avokaya,,304,avo,avu,{},4.66666666667,30.0,Africa,,Avokaya,1496,False,False
awa,,430,awa,awb,{},-6.66666666667,145.75,Papunesia,,Awa,1585,False,False
awadhi,,182,awd,awa,{},27.5,81.5,Eurasia,,Awadhi,638,False,False
awa pit,,106,awp,kwi,{},1.5,-78.25,South America,,Awa Pit,2476,False,True
awngi,,7,awn,awn,{},10.8333333333,36.6666666667,Africa,,Awngi,1633,False,False
awtuw,,369,awt,kmn,{},-3.58333333333,142.0,Papunesia,,Awtuw,2288,False,False
awyi,,110,awy,auw,{},-2.91666666667,140.583333333,Papunesia,,Awyi,913,False,False
ayiwo,,87,ayw,nfl,{},-10.3333333333,166.25,Papunesia,,Ayiwo,1155,False,False
aymara (central),,102,aym,ayc,{},-17.0,-69.0,South America,,Aymara (Central),2392,False,True
aynu,,19,ayn,aib,{},39.5,76.0,Eurasia,,Aynu,22,False,False
ayoman,,196,ayo,,{},11.0,-69.0,,,Ayomán,1062,False,False
ayoreo,,508,ayr,ayo,{},-20.25,-59.25,South America,,Ayoreo,1017,False,False
azari (iranian),,19,azi,azb,{},37.5,47.0,Eurasia,,Azari (Iranian),1497,False,False
azerbaijani,,19,aze,"azb, azj",{},40.5,48.5,Eurasia,,Azerbaijani,2144,False,False
baale,,322,blj,koe,{},6.5,34.5,Africa,,Baale,509,False,False
babole,,274,bbl,bvx,{},1.08333333333,17.25,Africa,,Babole,1342,False,False
babungo,,274,bab,bav,{},6.11666666667,10.4166666667,Africa,,Babungo,2246,False,False
bachamal,,43,bac,wdj,{},-13.1666666667,130.166666667,Australia,,Bachamal,1212,False,False
badaga,,149,bdg,bfq,{},11.6666666667,76.75,Eurasia,,Badaga,23,False,False
bade,,6,bad,bde,{},12.8333333333,10.5,Africa,,Bade,279,False,False
badimaya,,793,bdm,bia,{},-27.6666666667,118.0,Australia,,Badimaya,1671,False,False
bafia,,274,bfi,ksf,{},5.0,11.1666666667,Africa,,Bafia,1156,False,False
bafut,,274,baf,bfd,{},6.25,9.91666666667,Africa,,Bafut,1157,False,False
baga sitemu,,291,bgs,bsp,{},10.5,-14.5,Africa,,Baga Sitemu,914,False,False
bagirmi,,305,bag,bmi,{},11.6666666667,16.0,Africa,,Bagirmi,2462,True,True
bagiro,,305,bgr,fuu,{},4.33333333333,20.5833333333,Africa,,Bagiro,1634,False,False
bagri,,182,bgi,bgq,{},29.5833333333,74.3333333333,Eurasia,,Bagri,24,False,False
bagvalal,,269,bgv,kva,{},42.5833333333,46.1666666667,Eurasia,,Bagvalal,1213,False,False
baham,,488,bdw,bdw,{},-3.16666666667,132.666666667,Papunesia,,Baham,2646,False,False
bahinemo,,370,bhn,bjh,{},-4.58333333333,142.833333333,Papunesia,,Bahinemo,640,False,False
bahnar,,63,bpb,bdq,{},13.8333333333,108.333333333,Eurasia,,Bahnar,280,False,False
bai,,381,bai,bca,{},26.0,100.0,Eurasia,,Bai,2055,False,False
bajau (sama),,76,baj,bdl,{},-4.33333333333,123.0,Papunesia,,Bajau (Sama),1948,False,False
bajau (west coast),,76,bwc,bdr,{},6.33333333333,116.333333333,Papunesia,,Bajau (West Coast),2632,False,False
baka (in cameroon),,287,bak,bkc,{},2.58333333333,13.5833333333,Africa,,Baka (in Cameroon),1825,False,False
baka (in south sudan),,305,bka,bdh,{},4.83333333333,29.25,Africa,,Baka (in South Sudan),1441,False,False
bakairi,,119,bki,bkq,{},-14.0,-55.0,South America,,Bakairí,1214,False,False
bakueri,,274,bku,bri,{},4.25,9.25,Africa,,Bakueri,1343,False,False
bakundu,,274,bkn,bdu,{},4.83333333333,9.33333333333,Africa,,Bakundu,510,False,False
balangao,,514,blg,blw,{},17.1666666667,121.166666667,Papunesia,,Balangao,641,False,False
balanta,,818,blz,"bjt, ble",{},12.25,-15.3333333333,Africa,,Balanta,1158,False,False
balantak,,526,blk,blz,{},-0.833333333333,123.25,Papunesia,,Balantak,642,False,False
balinese,,519,bal,ban,{},-8.33333333333,115.25,Papunesia,,Balinese,1294,False,False
balivitu,,87,bvi,"bbn, wiv",{},-4.9,149.116666667,Papunesia,,Bali-Vitu,1537,False,False
balti,,389,blt,bft,{},35.0,76.0,Eurasia,,Balti,1586,False,False
baluchi,,183,blc,bgp,{},28.0,62.0,Eurasia,,Baluchi,1018,False,False
balyku,,793,bly,nad,{},-22.0,120.0,Australia,,Balyku,2558,False,False
bambam,,525,bbm,ptu,{},-3.08333333333,119.083333333,Papunesia,,Bambam,643,False,False
bambara,,292,bam,bam,{},12.5,-7.5,Africa,,Bambara,2375,False,True
bamun,,274,bmn,bax,{},5.5,10.9166666667,Africa,,Bamun,27,False,False
bana,,5,ban,bcw,{},10.4166666667,13.5833333333,Africa,,Bana,28,False,False
banawa,,24,bna,jaa,{},-7.0,-65.0,South America,,Banawá,644,False,False
bandi,,292,bnd,bza,{},8.08333333333,-10.25,Africa,,Bandi,29,False,False
bandjalang,,791,bnj,bdy,{},-28.75,153.0,Australia,,Bandjalang,1861,False,False
bandjalang (casino),,791,bca,bdy,{},-28.9166666667,153.0,Australia,,Bandjalang (Casino),281,False,False
bandjalang (waalubal),,791,bwa,bdy,{},-29.0833333333,152.583333333,Australia,,Bandjalang (Waalubal),859,False,False
bandjalang (yugumbir),,791,byu,bdy,{},-27.9166666667,153.0,Australia,,Bandjalang (Yugumbir),1344,False,False
banggai,,526,bgg,bgz,{},-1.41666666667,123.166666667,Papunesia,,Banggai,860,False,False
banggarla,,792,bnl,bjb,{},-32.0,137.0,Australia,,Banggarla,511,False,False
banggi,,518,bgz,bdg,{},7.25,117.166666667,Papunesia,,Banggi,2631,False,False
bangime,,105,bgm,dba,{},14.9166666667,-3.83333333333,Africa,,Bangime,2598,False,False
baniva,,785,bnv,bvv,{},5.26,-67.56,South America,,Baniva,2683,False,False
baniwa,,830,bnw,bwi,{},2.66666666667,-66.8333333333,South America,,Baniwa,861,False,False
bankon,,274,bnk,abb,{},4.41666666667,9.58333333333,Africa,,Bankon,1102,False,False
banoni,,87,bnn,bcm,{},-6.41666666667,155.25,Papunesia,,Banoni,1587,False,False
bantik,,524,bnt,bnq,{},1.41666666667,124.75,Papunesia,,Bantik,645,False,False
baoan,,20,bao,peh,{},35.75,102.833333333333,Eurasia,,Bao'an,1159,False,False
baragaunle,,389,brl,loy,{},28.8333333333,83.8333333333,Eurasia,,Baragaunle,30,False,False
barai,,439,baa,"bbb, nvm",{},-9.33333333333,148.083333333,Papunesia,,Barai,2017,False,False
barambu,,287,bbu,brm,{},3.5,27.0,Africa,,Barambu,1345,False,False
barasano,,452,brs,bsn,{},-0.166666666667,-70.6666666667,South America,,Barasano,2436,True,True
bardi,,46,brd,bcj,{},-16.5833333333,122.916666667,Australia,,Bardi,1215,False,False
bare,,781,bae,bae,{},1.0,-67.0,South America,,Baré,2145,False,False
bargam,,437,mug,mlp,{},-4.88333333333,145.75,Papunesia,,Bargam,567,False,False
bari,,320,bar,bfa,{},5.0,31.6666666667,Africa,,Bari,2146,False,False
bari,,128,mti,mot,{},9.0,-73.0,South America,,Barí,405,False,False
bariba,,809,brb,bba,{},10.0,2.5,Africa,,Bariba,1160,False,False
barupu,,394,brp,wra,{},-3.08333333333,142.083333333,Papunesia,,Barupu,2648,False,False
baruya,,449,bry,byr,{},-6.91666666667,145.916666667,Papunesia,,Baruya,1347,False,False
basaa,,274,bas,bas,{},3.91666666667,10.5,Africa,,Basaá,1295,False,False
basari,,819,bsr,bsc,{},12.6666666667,-13.0,Africa,,Basari,1019,False,False
bashkir,,19,bsk,bak,{},53.0,58.0,Eurasia,,Bashkir,2266,False,False
basque,,107,bsq,eus,{},43.0,-3.0,Eurasia,,Basque,2533,True,True
basque (basaburua and imoz),,107,bqi,eus,{},43.0,-1.66666666667,Eurasia,,Basque (Basaburua and Imoz),646,False,False
basque (bidasoa valley),,107,bqb,eus,{},43.0,-3.83333333333,Eurasia,,Basque (Bidasoa Valley),647,False,False
basque (gernica),,107,bqg,eus,{},43.3333333333,-3.0,Eurasia,,Basque (Gernica),648,False,False
basque (hondarribia),,107,bqh,eus,{},42.5,-3.0,Eurasia,,Basque (Hondarribia),649,False,False
basque (lekeitio),,107,bql,eus,{},43.0,-2.5,Eurasia,,Basque (Lekeitio),650,False,False
basque (northern high navarrese),,107,bqn,eus,{},43.3333333333,-2.5,Eurasia,,Basque (Northern High Navarrese),651,False,False
basque (onati),,107,bqo,eus,{},42.5,-3.5,Eurasia,,Basque (Oñati),652,False,False
basque (roncalese),,107,bqr,eus,{},43.0,-2.0,Eurasia,,Basque (Roncalese),653,False,False
basque (sakana),,107,bqs,eus,{},42.5,-2.0,Eurasia,,Basque (Sakana),654,False,False
basque (souletin),,107,bso,eus,{},43.5,-1.5,Eurasia,,Basque (Souletin),655,False,False
basque (zeberio),,107,bqz,eus,{},42.0,-3.0,Eurasia,,Basque (Zeberio),656,False,False
batak,,513,bat,bya,{},10.25,119.083333333,Papunesia,,Batak,31,False,False
batak (karo),,521,bkr,btx,{},3.25,98.25,Papunesia,,Batak (Karo),2418,False,True
batak (toba),,521,bto,bbc,{},2.5,99.0,Papunesia,,Batak (Toba),2201,False,False
bathari,,10,bth,bhm,{},18.0,56.0,Eurasia,,Bathari,32,False,False
bau,,437,bau,bbd,{},-5.25,145.616666667,Papunesia,,Bau,282,False,False
baule,,275,ble,bci,{},7.0,-5.0,Africa,,Baule,1383,False,False
baure,,535,baq,brg,{},-13.0833333333,-64.1666666667,South America,,Baure,1635,False,False
bauzi,,153,bzi,bvz,{},-2.5,137.5,Papunesia,,Bauzi,1538,False,False
bawm,,386,baw,bgr,{},22.5,92.25,Eurasia,,Bawm,2393,False,True
bayso,,698,bys,bsw,{},6.25,37.75,Africa,,Bayso,512,False,False
bayungu,,793,bxj,bxj,{},-23.0,114.0,Australia,,Bayungu,2559,False,False
beembe,,274,bee,beq,{},-3.91666666667,14.0833333333,Africa,,Beembe,1216,False,False
begakidaan,,518,beg,dbj,{},5.25,118.833333333,Papunesia,,Begak-Ida'an,657,False,False
beja,,3,bej,bej,{},18.0,36.0,Africa,,Beja,2401,False,True
belhare,,512,bel,byw,{},26.9666666667,87.3,Eurasia,,Belhare,2037,False,False
bella coola,,363,bco,blc,{},52.5,-126.666666667,North America,,Bella Coola,2131,False,False
belorussian,,185,blr,bel,{},54.0,28.0,Eurasia,,Belorussian,1747,False,False
bemba,,274,bem,bem,{},-10.0,28.25,Africa,,Bemba,1296,False,False
benabena,,430,beb,bef,{},-6.16666666667,145.5,Papunesia,,Benabena,283,False,False
benalulua,,274,blu,lua,{},-6.0,21.0,Africa,,Bena-Lulua,862,False,False
beng,,273,bnq,nhb,{},7.83333333333,-4.25,Africa,,Beng,284,False,False
benga,,274,bga,bng,{},1.16666666667,9.41666666667,Africa,,Benga,513,False,False
bengali,,182,ben,ben,{},24.0,90.0,Eurasia,,Bengali,2147,False,False
bengali (chittagong),,182,bec,ctg,{},22.3333333333,91.8333333333,Eurasia,,Bengali (Chittagong),285,False,False
beothuk,,108,beo,bue,{},48.0,-57.0,North America,,Beothuk,286,False,False
